disco,date,band,collection_naira
EEDC,01/11/2021,band_c,2497597145
EEDC,01/11/2021,band_d,812910083.6
EEDC,01/11/2021,band_e,255332609.3
EEDC,01/12/2021,lifeline,175510
EEDC,01/12/2021,band_a,1563210524
EEDC,01/12/2021,band_b,1293575176
EEDC,01/12/2021,band_c,2309651704
EEDC,01/12/2021,band_d,732293328.5
EEDC,01/12/2021,band_e,242412673.1
EEDC,01/01/2022,lifeline,135230
EEDC,01/01/2022,band_a,1508465993
EEDC,01/01/2022,band_b,1253470596
EEDC,01/01/2022,band_c,2352014558
EEDC,01/01/2022,band_d,803740039.8
EEDC,01/01/2022,band_e,243690244.2
EEDC,01/02/2022,lifeline,181390
EEDC,01/02/2022,band_a,1821913618
EEDC,01/02/2022,band_b,1356240109
EEDC,01/02/2022,band_c,2407518271
EEDC,01/02/2022,band_d,751694425
EEDC,01/02/2022,band_e,248933780.4
EEDC,01/03/2022,lifeline,113230
EEDC,01/03/2022,band_a,1425467800
EEDC,01/03/2022,band_b,1146126805
EEDC,01/03/2022,band_c,2023352704
EEDC,01/03/2022,band_d,587454908.6
EEDC,01/03/2022,band_e,171269815
EEDC,01/04/2022,lifeline,104209
EEDC,01/04/2022,band_a,1489088292
EEDC,01/04/2022,band_b,1217253409
EEDC,01/04/2022,band_c,2144209525
EEDC,01/04/2022,band_d,507817744.7
EEDC,01/04/2022,band_e,97095021.97
EEDC,01/05/2022,lifeline,19200
EEDC,01/05/2022,band_a,1364754852
EEDC,01/05/2022,band_b,1188797450
EEDC,01/05/2022,band_c,1949504977
EEDC,01/05/2022,band_d,595000299.2
EEDC,01/05/2022,band_e,173359861.3
EEDC,01/06/2022,lifeline,574236
EEDC,01/06/2022,band_a,1488836612
EEDC,01/06/2022,band_b,1208643766
EEDC,01/06/2022,band_c,2032092195
EEDC,01/06/2022,band_d,717123162
EEDC,01/06/2022,band_e,217867606
EEDC,01/07/2022,lifeline,561954
EEDC,01/07/2022,band_a,1653854342
EEDC,01/07/2022,band_b,1327534898
EEDC,01/07/2022,band_c,2250642618
EEDC,01/07/2022,band_d,710073108
EEDC,01/07/2022,band_e,215887383
EEDC,01/08/2022,lifeline,17442
EEDC,01/08/2022,band_a,2041566384
EEDC,01/08/2022,band_b,1321423298
EEDC,01/08/2022,band_c,1867849371
EEDC,01/08/2022,band_d,643199053
EEDC,01/08/2022,band_e,193928865
EEDC,01/09/2022,lifeline,35800
EEDC,01/09/2022,band_a,2229089593
EEDC,01/09/2022,band_b,1378629066
EEDC,01/09/2022,band_c,1227981827
EEDC,01/09/2022,band_d,305242540.1
EEDC,01/09/2022,band_e,140674694.4
IBEDC,01/11/2020,lifeline,18128820.11
IBEDC,01/11/2020,band_a,3052795803
IBEDC,01/11/2020,band_b,1081391099
IBEDC,01/11/2020,band_c,931551465.6
IBEDC,01/11/2020,band_d,1027356152
