disco,date,band,billing_naira
EKEDC,01/11/2021,band_e,729955738.1
EKEDC,01/12/2021,lifeline,0
EKEDC,01/12/2021,band_a,3580720468
EKEDC,01/12/2021,band_b,4249075674
EKEDC,01/12/2021,band_c,2060730699
EKEDC,01/12/2021,band_d,2144008874
EKEDC,01/12/2021,band_e,640741659.5
EKEDC,01/01/2022,lifeline,0
EKEDC,01/01/2022,band_a,3273866528
EKEDC,01/01/2022,band_b,3697691070
EKEDC,01/01/2022,band_c,1847715201
EKEDC,01/01/2022,band_d,1988267184
EKEDC,01/01/2022,band_e,596512983.6
EKEDC,01/02/2022,lifeline,0
EKEDC,01/02/2022,band_a,4137658084
EKEDC,01/02/2022,band_b,2956788136
EKEDC,01/02/2022,band_c,1902688034
EKEDC,01/02/2022,band_d,1430851991
EKEDC,01/02/2022,band_e,280548860.9
EKEDC,01/03/2022,lifeline,0
EKEDC,01/03/2022,band_a,3727970090
EKEDC,01/03/2022,band_b,2530467982
EKEDC,01/03/2022,band_c,1681196895
EKEDC,01/03/2022,band_d,1240671802
EKEDC,01/03/2022,band_e,246481134.2
EKEDC,01/04/2022,lifeline,0
EKEDC,01/04/2022,band_a,3721272882
EKEDC,01/04/2022,band_b,2913512176
EKEDC,01/04/2022,band_c,1842156678
EKEDC,01/04/2022,band_d,1405932881
EKEDC,01/04/2022,band_e,257284717.8
EKEDC,01/05/2022,lifeline,0
EKEDC,01/05/2022,band_a,4189449835
EKEDC,01/05/2022,band_b,3086817894
EKEDC,01/05/2022,band_c,1717361461
EKEDC,01/05/2022,band_d,1494521697
EKEDC,01/05/2022,band_e,263217360.7
EKEDC,01/06/2022,lifeline,0
EKEDC,01/06/2022,band_a,3650751330
EKEDC,01/06/2022,band_b,2547848483
EKEDC,01/06/2022,band_c,1445218798
EKEDC,01/06/2022,band_d,1151704074
EKEDC,01/06/2022,band_e,194394851.2
EKEDC,01/07/2022,lifeline,0
EKEDC,01/07/2022,band_a,3998618314
EKEDC,01/07/2022,band_b,3258203401
EKEDC,01/07/2022,band_c,1675010556
EKEDC,01/07/2022,band_d,1341720132
